venue,umpire2,winner_runs,date,method,reserve_umpire,winner,city,outcome,match_number,match_referee,team1,team2,winner_wickets,toss_winner,toss_decision,tv_umpire,season,umpire1,player_of_match,matchId
M Chinnaswamy Stadium,RE Koertzen,140,18-04-2008,,VN Kulkarni,Kolkata Knight Riders,Bangalore,,1,J Srinath,Royal Challengers Bangalore,Kolkata Knight Riders,,Royal Challengers Bangalore,field,AM Saheba,2007/08,Asad Rauf,BB McCullum,335982
"Punjab Cricket Association Stadium, Mohali",SL Shastri,33,19-04-2008,,MSS Ranawat,Chennai Super Kings,Chandigarh,,2,S Venkataraghavan,Kings XI Punjab,Chennai Super Kings,,Chennai Super Kings,bat,RB Tiffin,2007/08,MR Benson,MEK Hussey,335983
Feroz Shah Kotla,GA Pratapkumar,,19-04-2008,,,Delhi Daredevils,Delhi,,3,GR Viswanath,Delhi Daredevils,Rajasthan Royals,9,Rajasthan Royals,bat,IL Howell,2007/08,Aleem Dar,MF Maharoof,335984
Wankhede Stadium,DJ Harper,,20-04-2008,,SN Bandekar,Royal Challengers Bangalore,Mumbai,,5,J Srinath,Mumbai Indians,Royal Challengers Bangalore,5,Mumbai Indians,bat,AV Jayaprakash,2007/08,SJ Davis,MV Boucher,335985
Eden Gardens,K Hariharan,,20-04-2008,,F Gomes,Kolkata Knight Riders,Kolkata,,4,FM Engineer,Kolkata Knight Riders,Deccan Chargers,5,Deccan Chargers,bat,Asad Rauf,2007/08,BF Bowden,DJ Hussey,335986
Sawai Mansingh Stadium,RB Tiffin,,21-04-2008,,MSS Ranawat,Rajasthan Royals,Jaipur,,6,S Venkataraghavan,Rajasthan Royals,Kings XI Punjab,6,Kings XI Punjab,bat,I Shivram,2007/08,Aleem Dar,SR Watson,335987
"Rajiv Gandhi International Stadium, Uppal",AM Saheba,,22-04-2008,,C Shamshuddin,Delhi Daredevils,Hyderabad,,7,Talat Ali,Deccan Chargers,Delhi Daredevils,9,Deccan Chargers,bat,MR Benson,2007/08,IL Howell,V Sehwag,335988
"MA Chidambaram Stadium, Chepauk",GA Pratapkumar,6,23-04-2008,,S Ravi,Chennai Super Kings,Chennai,,8,FM Engineer,Chennai Super Kings,Mumbai Indians,,Mumbai Indians,field,BF Bowden,2007/08,DJ Harper,ML Hayden,335989
"Rajiv Gandhi International Stadium, Uppal",MR Benson,,24-04-2008,,C Shamshuddin,Rajasthan Royals,Hyderabad,,9,S Venkataraghavan,Deccan Chargers,Rajasthan Royals,3,Rajasthan Royals,field,SL Shastri,2007/08,Asad Rauf,YK Pathan,335990
"Punjab Cricket Association Stadium, Mohali",AM Saheba,66,25-04-2008,,HS Sekhon,Kings XI Punjab,Chandigarh,,10,FM Engineer,Kings XI Punjab,Mumbai Indians,,Mumbai Indians,field,RE Koertzen,2007/08,Aleem Dar,KC Sangakkara,335991
